Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)	Function [CC]
A0ABW1SNJ9	A0ABW1SNJ9_9LACO	APC family permease	ACFP1L_13495	Lactiplantibacillus nangangensis	455	GO:0005886; GO:0022857	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	
A0ABW1SNK2	A0ABW1SNK2_9LACO	DUF916 and DUF3324 domain-containing protein	ACFP1L_12965	Lactiplantibacillus nangangensis	352			
A0ABW1SNK5	A0ABW1SNK5_9LACO	ArgE/DapE family deacylase	ACFP1L_13255	Lactiplantibacillus nangangensis	411	GO:0016787	hydrolase activity [GO:0016787]	
A0ABW1SNK7	A0ABW1SNK7_9LACO	Integral membrane protein	ACFP1L_13400	Lactiplantibacillus nangangensis	86			
A0ABW1SNK8	A0ABW1SNK8_9LACO	Type II toxin-antitoxin system PrlF family antitoxin	ACFP1L_13995	Lactiplantibacillus nangangensis	87	GO:0003677	DNA binding [GO:0003677]	
A0ABW1SNL1	A0ABW1SNL1_9LACO	GNAT family N-acetyltransferase (EC 2.3.-.-)	ACFP1L_13430	Lactiplantibacillus nangangensis	176	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	
A0ABW1SNL2	A0ABW1SNL2_9LACO	PTS glucose transporter subunit IIA	ACFP1L_13575	Lactiplantibacillus nangangensis	159	GO:0005737; GO:0005886; GO:0009401; GO:0016301	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	
A0ABW1SNL4	A0ABW1SNL4_9LACO	Universal stress protein	ACFP1L_13330	Lactiplantibacillus nangangensis	147	GO:0005737	cytoplasm [GO:0005737]	
A0ABW1SNL7	A0ABW1SNL7_9LACO	C39 family peptidase	ACFP1L_13040	Lactiplantibacillus nangangensis	256			
A0ABW1SNL8	A0ABW1SNL8_9LACO	GGDEF domain-containing protein	ACFP1L_13730	Lactiplantibacillus nangangensis	381	GO:0005886; GO:0043709; GO:0052621; GO:1902201	plasma membrane [GO:0005886]; diguanylate cyclase activity [GO:0052621]; cell adhesion involved in single-species biofilm formation [GO:0043709]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201]	
A0ABW1SNM0	A0ABW1SNM0_9LACO	ABC-F family ATP-binding cassette domain-containing protein	ACFP1L_13475	Lactiplantibacillus nangangensis	540	GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	
A0ABW1SNM2	A0ABW1SNM2_9LACO	Mutator family transposase	ACFP1L_14085	Lactiplantibacillus nangangensis	385	GO:0003677; GO:0004803; GO:0006313	DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]	FUNCTION: Required for the transposition of the insertion element. {ECO:0000256|ARBA:ARBA00002190, ECO:0000256|RuleBase:RU365089}.
A0ABW1SNM5	A0ABW1SNM5_9LACO	VIT1/CCC1 transporter family protein	ACFP1L_13650	Lactiplantibacillus nangangensis	99	GO:0005384; GO:0030026	manganese ion transmembrane transporter activity [GO:0005384]; intracellular manganese ion homeostasis [GO:0030026]	
A0ABW1SNM7	A0ABW1SNM7_9LACO	EAL domain-containing protein	ACFP1L_13505	Lactiplantibacillus nangangensis	230			
A0ABW1SNM8	A0ABW1SNM8_9LACO	Helix-turn-helix domain-containing protein	ACFP1L_13405	Lactiplantibacillus nangangensis	253	GO:0003677	DNA binding [GO:0003677]	
A0ABW1SNN0	A0ABW1SNN0_9LACO	PTS transporter subunit IIC	ACFP1L_13805	Lactiplantibacillus nangangensis	363	GO:0005886; GO:0008982; GO:0009401	plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-carbohydrate phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	
A0ABW1SNN3	A0ABW1SNN3_9LACO	ATP-binding protein	ACFP1L_13115	Lactiplantibacillus nangangensis	399			
A0ABW1SNN5	A0ABW1SNN5_9LACO	Alpha/beta hydrolase	ACFP1L_13550	Lactiplantibacillus nangangensis	276			
A0ABW1SNN6	A0ABW1SNN6_9LACO	Transposase	ACFP1L_14165	Lactiplantibacillus nangangensis	392	GO:0003677; GO:0004803; GO:0006313	DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]	
A0ABW1SNP1	A0ABW1SNP1_9LACO	DUF2200 domain-containing protein	ACFP1L_13585	Lactiplantibacillus nangangensis	116			
A0ABW1SNP3	A0ABW1SNP3_9LACO	Cof-type HAD-IIB family hydrolase (EC 3.1.3.-)	ACFP1L_13480	Lactiplantibacillus nangangensis	265	GO:0000287; GO:0005829; GO:0016791	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]	
A0ABW1SNP6	A0ABW1SNP6_9LACO	Extracellular protein	ACFP1L_13880	Lactiplantibacillus nangangensis	198			
A0ABW1SNP8	A0ABW1SNP8_9LACO	VanZ family protein	ACFP1L_13630	Lactiplantibacillus nangangensis	171			
A0ABW1SNQ0	A0ABW1SNQ0_9LACO	Uncharacterized protein	ACFP1L_14240	Lactiplantibacillus nangangensis	136			
A0ABW1SNQ1	A0ABW1SNQ1_9LACO	Bifunctional transcriptional activator/DNA repair enzyme AdaA	ACFP1L_13190	Lactiplantibacillus nangangensis	184	GO:0003700; GO:0006281; GO:0008168; GO:0008270; GO:0043565	DNA-binding transcription factor activity [GO:0003700]; methyltransferase activity [GO:0008168]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]	
A0ABW1SNQ3	A0ABW1SNQ3_9LACO	Bacteriocin immunity protein	ACFP1L_13800	Lactiplantibacillus nangangensis	102			
A0ABW1SNQ9	A0ABW1SNQ9_9LACO	UTRA domain-containing protein	ACFP1L_13555	Lactiplantibacillus nangangensis	240	GO:0003677; GO:0003700; GO:0045892	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]	
A0ABW1SNR0	A0ABW1SNR0_9LACO	HTH domain-containing protein	ACFP1L_13955	Lactiplantibacillus nangangensis	190			
A0ABW1SNR3	A0ABW1SNR3_9LACO	TIGR03111 family XrtG-associated glycosyltransferase	ACFP1L_13705	Lactiplantibacillus nangangensis	451			
A0ABW1SNR4	A0ABW1SNR4_9LACO	Nickase	ACFP1L_14315	Lactiplantibacillus nangangensis	100			
A0ABW1SNR6	A0ABW1SNR6_9LACO	ABC transporter ATP-binding protein	ACFP1L_13265	Lactiplantibacillus nangangensis	233	GO:0005524; GO:0016887; GO:0022857; GO:0098796	membrane protein complex [GO:0098796]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	
A0ABW1SNR9	A0ABW1SNR9_9LACO	Uncharacterized protein	ACFP1L_13875	Lactiplantibacillus nangangensis	101			
A0ABW1SNS3	A0ABW1SNS3_9LACO	HIT family protein (EC 2.1.1.-)	ACFP1L_13735	Lactiplantibacillus nangangensis	150	GO:0003824	catalytic activity [GO:0003824]	
A0ABW1SNS5	A0ABW1SNS5_9LACO	GGDEF domain-containing protein	ACFP1L_13635	Lactiplantibacillus nangangensis	376	GO:0005886; GO:0043709; GO:0052621; GO:1902201	plasma membrane [GO:0005886]; diguanylate cyclase activity [GO:0052621]; cell adhesion involved in single-species biofilm formation [GO:0043709]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201]	
A0ABW1SNS8	A0ABW1SNS8_9LACO	Cation transporter	ACFP1L_13780	Lactiplantibacillus nangangensis	204	GO:0016020	membrane [GO:0016020]	
A0ABW1SNS9	A0ABW1SNS9_9LACO	Transposase	ACFP1L_14395	Lactiplantibacillus nangangensis	211	GO:0043565	sequence-specific DNA binding [GO:0043565]	
A0ABW1SNT1	A0ABW1SNT1_9LACO	Alpha/beta hydrolase fold domain-containing protein	ACFP1L_13340	Lactiplantibacillus nangangensis	286	GO:0016787	hydrolase activity [GO:0016787]	
A0ABW1SNT2	A0ABW1SNT2_9LACO	Replication initiation protein	ACFP1L_13950	Lactiplantibacillus nangangensis	108			
A0ABW1SNT6	A0ABW1SNT6_9LACO	Exosortase family protein XrtG	xrtG ACFP1L_13710	Lactiplantibacillus nangangensis	199	GO:0005886	plasma membrane [GO:0005886]	
A0ABW1SNT9	A0ABW1SNT9_9LACO	TetR/AcrR family transcriptional regulator	ACFP1L_14135	Lactiplantibacillus nangangensis	223	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
A0ABW1SNU0	A0ABW1SNU0_9LACO	Type II toxin-antitoxin system PemK/MazF family toxin	ACFP1L_13810	Lactiplantibacillus nangangensis	125	GO:0003677	DNA binding [GO:0003677]	
A0ABW1SNU2	A0ABW1SNU2_9LACO	YjdF family protein	ACFP1L_14475	Lactiplantibacillus nangangensis	140			
A0ABW1SNU5	A0ABW1SNU5_9LACO	DNA/RNA non-specific endonuclease	ACFP1L_13415	Lactiplantibacillus nangangensis	312	GO:0003676; GO:0016787; GO:0046872	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	
A0ABW1SNV1	A0ABW1SNV1_9LACO	ArsR/SmtB family transcription factor	ACFP1L_13785	Lactiplantibacillus nangangensis	108	GO:0003700	DNA-binding transcription factor activity [GO:0003700]	
A0ABW1SNV3	A0ABW1SNV3_9LACO	Winged helix-turn-helix transcriptional regulator	ACFP1L_13885	Lactiplantibacillus nangangensis	100			
A0ABW1SNV5	A0ABW1SNV5_9LACO	DUF916 and DUF3324 domain-containing protein	ACFP1L_13930	Lactiplantibacillus nangangensis	350			
A0ABW1SNV7	A0ABW1SNV7_9LACO	DUF3847 domain-containing protein	ACFP1L_14565	Lactiplantibacillus nangangensis	92			
A0ABW1SNV8	A0ABW1SNV8_9LACO	ABC transporter permease	ACFP1L_14210	Lactiplantibacillus nangangensis	711			
A0ABW1SNW4	A0ABW1SNW4_9LACO	Nicotinate phosphoribosyltransferase C-terminal domain-containing protein	ACFP1L_14130	Lactiplantibacillus nangangensis	115	GO:0009435	NAD+ biosynthetic process [GO:0009435]	
A0ABW1SNW5	A0ABW1SNW5_9LACO	Response regulator transcription factor	ACFP1L_13860	Lactiplantibacillus nangangensis	248	GO:0000156; GO:0003677	DNA binding [GO:0003677]; phosphorelay response regulator activity [GO:0000156]	FUNCTION: Required for high-level post-exponential phase expression of a series of secreted proteins. {ECO:0000256|ARBA:ARBA00037164}.
A0ABW1SNW7	A0ABW1SNW7_9LACO	Transposase	ACFP1L_13960	Lactiplantibacillus nangangensis	226	GO:0004803; GO:0006313; GO:0043565	sequence-specific DNA binding [GO:0043565]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]	
A0ABW1SNW8	A0ABW1SNW8_9LACO	Integral membrane protein	ACFP1L_14015	Lactiplantibacillus nangangensis	149			
A0ABW1SNX2	A0ABW1SNX2_9LACO	VirB4 family type IV secretion system protein	ACFP1L_14285	Lactiplantibacillus nangangensis	671	GO:0005524; GO:0005886	plasma membrane [GO:0005886]; ATP binding [GO:0005524]	
A0ABW1SNX6	A0ABW1SNX6_9LACO	Lactococcin 972 family bacteriocin	ACFP1L_14205	Lactiplantibacillus nangangensis	74			
A0ABW1SNX7	A0ABW1SNX7_9LACO	Group II intron reverse transcriptase/maturase (EC 2.7.7.49)	ltrA ACFP1L_13935	Lactiplantibacillus nangangensis	460	GO:0003964	RNA-directed DNA polymerase activity [GO:0003964]	
A0ABW1SNY0	A0ABW1SNY0_9LACO	Restriction endonuclease subunit S	ACFP1L_14055	Lactiplantibacillus nangangensis	411	GO:0003677	DNA binding [GO:0003677]	
A0ABW1SNY4	A0ABW1SNY4_9LACO	Uncharacterized protein	ACFP1L_14365	Lactiplantibacillus nangangensis	119			
A0ABW1SNZ0	A0ABW1SNZ0_9LACO	Type VII secretion protein EssB/YukC	ACFP1L_14280	Lactiplantibacillus nangangensis	472			
A0ABW1SNZ2	A0ABW1SNZ2_9LACO	Replication initiation protein	ACFP1L_14020	Lactiplantibacillus nangangensis	155	GO:0003887; GO:0006270	DNA-directed DNA polymerase activity [GO:0003887]; DNA replication initiation [GO:0006270]	
A0ABW1SNZ3	A0ABW1SNZ3_9LACO	VIT1/CCC1 transporter family protein	ACFP1L_13645	Lactiplantibacillus nangangensis	102	GO:0005384; GO:0030026	manganese ion transmembrane transporter activity [GO:0005384]; intracellular manganese ion homeostasis [GO:0030026]	
A0ABW1SNZ5	A0ABW1SNZ5_9LACO	ABC transporter permease	ACFP1L_14140	Lactiplantibacillus nangangensis	415	GO:0005886; GO:0140359	plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]	
A0ABW1SNZ7	A0ABW1SNZ7_9LACO	Replication protein	ACFP1L_14185	Lactiplantibacillus nangangensis	226	GO:0003677; GO:0003916; GO:0005727; GO:0006260	extrachromosomal circular DNA [GO:0005727]; DNA binding [GO:0003677]; DNA topoisomerase activity [GO:0003916]; DNA replication [GO:0006260]	
A0ABW1SP00	A0ABW1SP00_9LACO	DUF3923 family protein	ACFP1L_14445	Lactiplantibacillus nangangensis	70			
A0ABW1SP05	A0ABW1SP05_9LACO	DUF262 domain-containing protein	ACFP1L_14355	Lactiplantibacillus nangangensis	592			
A0ABW1SP07	A0ABW1SP07_9LACO	ABC transporter ATP-binding protein	ACFP1L_14215	Lactiplantibacillus nangangensis	214	GO:0005524; GO:0005886; GO:0016887; GO:0022857	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	
A0ABW1SP09	A0ABW1SP09_9LACO	Peptide deformylase (EC 3.5.1.88)	ACFP1L_13720	Lactiplantibacillus nangangensis	136	GO:0042586	peptide deformylase activity [GO:0042586]	
A0ABW1SP11	A0ABW1SP11_9LACO	Conjugal transfer protein	ACFP1L_14260	Lactiplantibacillus nangangensis	156			
A0ABW1SP16	A0ABW1SP16_9LACO	ParA family protein	ACFP1L_14535	Lactiplantibacillus nangangensis	261			
A0ABW1SP19	A0ABW1SP19_9LACO	TrsD/TraD family conjugative transfer protein	trsD ACFP1L_14290	Lactiplantibacillus nangangensis	219			
A0ABW1SP20	A0ABW1SP20_9LACO	Integral membrane protein	ACFP1L_13795	Lactiplantibacillus nangangensis	92			
A0ABW1SP23	A0ABW1SP23_9LACO	DUF536 domain-containing protein	ACFP1L_14440	Lactiplantibacillus nangangensis	162			
A0ABW1SP24	A0ABW1SP24_9LACO	Uncharacterized protein	ACFP1L_14190	Lactiplantibacillus nangangensis	66			
A0ABW1SP25	A0ABW1SP25_9LACO	Site-specific integrase	ACFP1L_14335	Lactiplantibacillus nangangensis	195	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	
A0ABW1SP29	A0ABW1SP29_9LACO	Holin-like toxin	ACFP1L_14610	Lactiplantibacillus nangangensis	25			
A0ABW1SP34	A0ABW1SP34_9LACO	Uncharacterized protein	ACFP1L_13870	Lactiplantibacillus nangangensis	51			
A0ABW1SP35	A0ABW1SP35_9LACO	Uncharacterized protein	ACFP1L_14370	Lactiplantibacillus nangangensis	70			
A0ABW1SP37	A0ABW1SP37_9LACO	Type II toxin-antitoxin system RelB/DinJ family antitoxin	ACFP1L_14525	Lactiplantibacillus nangangensis	93	GO:0006351; GO:0006355	DNA-templated transcription [GO:0006351]; regulation of DNA-templated transcription [GO:0006355]	
A0ABW1SP40	A0ABW1SP40_9LACO	Transposase	ACFP1L_14420	Lactiplantibacillus nangangensis	83	GO:0003677; GO:0004803; GO:0006313	DNA binding [GO:0003677]; transposase activity [GO:0004803]; DNA transposition [GO:0006313]	
A0ABW1SP42	A0ABW1SP42_9LACO	Thioredoxin	ACFP1L_14265	Lactiplantibacillus nangangensis	122			
A0ABW1SP48	A0ABW1SP48_9LACO	HTH domain-containing protein	ACFP1L_13945	Lactiplantibacillus nangangensis	172			
A0ABW1SP49	A0ABW1SP49_9LACO	Helix-turn-helix domain-containing protein	ACFP1L_14450	Lactiplantibacillus nangangensis	254	GO:0003677	DNA binding [GO:0003677]	
A0ABW1SP50	A0ABW1SP50_9LACO	Uncharacterized protein	ACFP1L_14605	Lactiplantibacillus nangangensis	333			
A0ABW1SP54	A0ABW1SP54_9LACO	Uncharacterized protein	ACFP1L_14495	Lactiplantibacillus nangangensis	52			
A0ABW1SP56	A0ABW1SP56_9LACO	Site-specific integrase	ACFP1L_14340	Lactiplantibacillus nangangensis	195	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	
A0ABW1SP62	A0ABW1SP62_9LACO	YxeA family protein	ACFP1L_14035	Lactiplantibacillus nangangensis	125			
A0ABW1SP63	A0ABW1SP63_9LACO	Uncharacterized protein	ACFP1L_14540	Lactiplantibacillus nangangensis	79			
A0ABW1SP68	A0ABW1SP68_9LACO	Type II toxin-antitoxin system RelB/DinJ family antitoxin	ACFP1L_14120	Lactiplantibacillus nangangensis	92	GO:0006355	regulation of DNA-templated transcription [GO:0006355]	
A0ABW1SP72	A0ABW1SP72_9LACO	Replication initiator protein A	ACFP1L_14585	Lactiplantibacillus nangangensis	362			
A0ABW1SP75	A0ABW1SP75_9LACO	Recombinase family protein	ACFP1L_14425	Lactiplantibacillus nangangensis	194	GO:0000150; GO:0003677	DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]	
A0ABW1SP83	A0ABW1SP83_9LACO	DUF2089 family protein	ACFP1L_14200	Lactiplantibacillus nangangensis	92			
A0ABW1SP84	A0ABW1SP84_9LACO	Polysaccharide deacetylase family protein	ACFP1L_14500	Lactiplantibacillus nangangensis	422	GO:0005576; GO:0005975; GO:0016810	extracellular region [GO:0005576]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; carbohydrate metabolic process [GO:0005975]	
A0ABW1SP98	A0ABW1SP98_9LACO	Dihydrodipicolinate reductase	ACFP1L_14590	Lactiplantibacillus nangangensis	91			
A0ABW1SP99	A0ABW1SP99_9LACO	Phage tail tip lysozyme	ACFP1L_14275	Lactiplantibacillus nangangensis	384			
A0ABW1SPB1	A0ABW1SPB1_9LACO	Uncharacterized protein	ACFP1L_14350	Lactiplantibacillus nangangensis	103			
A0ABW1SPC5	A0ABW1SPC5_9LACO	IS30 family transposase	ACFP1L_14435	Lactiplantibacillus nangangensis	221	GO:0003676; GO:0004803; GO:0005829; GO:0015074; GO:0032196	cytosol [GO:0005829]; nucleic acid binding [GO:0003676]; transposase activity [GO:0004803]; DNA integration [GO:0015074]; transposition [GO:0032196]	
A0ABW1SPD8	A0ABW1SPD8_9LACO	Addiction module toxin, PemK-like protein	ACFP1L_14520	Lactiplantibacillus nangangensis	168			
A0ABW1SPF5	A0ABW1SPF5_9LACO	Recombinase family protein	ACFP1L_14600	Lactiplantibacillus nangangensis	195	GO:0000150; GO:0003677	DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]	
A0ABW1UBV7	A0ABW1UBV7_9LACO	DUF262 domain-containing protein	ACFQH1_00075	Lactiplantibacillus daoliensis	562			
A0ABW1UBX9	A0ABW1UBX9_9LACO	ATP-dependent DNA helicase (EC 3.6.4.12)	ACFQH1_00160	Lactiplantibacillus daoliensis	792	GO:0003677; GO:0003678; GO:0005524; GO:0016818	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]	
A0ABW1UBY0	A0ABW1UBY0_9LACO	Recombinase family protein	ACFQH1_00040	Lactiplantibacillus daoliensis	189	GO:0000150; GO:0003677	DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]	
A0ABW1UBZ2	A0ABW1UBZ2_9LACO	Uncharacterized protein	ACFQH1_00125	Lactiplantibacillus daoliensis	79			
A0ABW1UBZ3	A0ABW1UBZ3_9LACO	ATP-binding cassette domain-containing protein	ACFQH1_00235	Lactiplantibacillus daoliensis	297	GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	
A0ABW1UC04	A0ABW1UC04_9LACO	ABC transporter permease	ACFQH1_00200	Lactiplantibacillus daoliensis	278	GO:0005886; GO:0055085	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	
A0ABW1UC07	A0ABW1UC07_9LACO	Uncharacterized protein	ACFQH1_00320	Lactiplantibacillus daoliensis	103			
A0ABW1UC15	A0ABW1UC15_9LACO	Family 78 glycoside hydrolase catalytic domain	ACFQH1_00285	Lactiplantibacillus daoliensis	517	GO:0005975	carbohydrate metabolic process [GO:0005975]	
A0ABW1UC20	A0ABW1UC20_9LACO	Ig-like domain-containing protein	ACFQH1_00395	Lactiplantibacillus daoliensis	1138	GO:0007155	cell adhesion [GO:0007155]	
A0ABW1UC36	A0ABW1UC36_9LACO	BspA family leucine-rich repeat surface protein	ACFQH1_00470	Lactiplantibacillus daoliensis	1374			
A0ABW1UC56	A0ABW1UC56_9LACO	Lrp/AsnC family transcriptional regulator	ACFQH1_00515	Lactiplantibacillus daoliensis	141	GO:0005829; GO:0043200; GO:0043565	cytosol [GO:0005829]; sequence-specific DNA binding [GO:0043565]; response to amino acid [GO:0043200]	
A0ABW1UC57	A0ABW1UC57_9LACO	Uncharacterized protein	ACFQH1_00055	Lactiplantibacillus daoliensis	123			
A0ABW1UC59	A0ABW1UC59_9LACO	DUF5388 domain-containing protein	ACFQH1_00010	Lactiplantibacillus daoliensis	115			
A0ABW1UC70	A0ABW1UC70_9LACO	Cof-type HAD-IIB family hydrolase (EC 3.1.3.-)	ACFQH1_00555	Lactiplantibacillus daoliensis	270	GO:0000287; GO:0005829; GO:0016791	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]	
A0ABW1UC71	A0ABW1UC71_9LACO	Uncharacterized protein	ACFQH1_00595	Lactiplantibacillus daoliensis	113			
A0ABW1UC72	A0ABW1UC72_9LACO	LysM peptidoglycan-binding domain-containing protein	ACFQH1_00140	Lactiplantibacillus daoliensis	189			
A0ABW1UC73	A0ABW1UC73_9LACO	N-acetylneuraminate lyase	ACFQH1_00100	Lactiplantibacillus daoliensis	66			
A0ABW1UC86	A0ABW1UC86_9LACO	Alpha/beta hydrolase	ACFQH1_00670	Lactiplantibacillus daoliensis	314			
A0ABW1UC87	A0ABW1UC87_9LACO	ASCH domain-containing protein	ACFQH1_00215	Lactiplantibacillus daoliensis	155			
A0ABW1UC88	A0ABW1UC88_9LACO	NAD(P)/FAD-dependent oxidoreductase (EC 1.6.5.-)	ACFQH1_00175	Lactiplantibacillus daoliensis	400	GO:0003955; GO:0019646	NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; aerobic electron transport chain [GO:0019646]	
A0ABW1UCA0	A0ABW1UCA0_9LACO	NADPH-dependent FMN reductase (EC 1.-.-.-)	ACFQH1_00705	Lactiplantibacillus daoliensis	206	GO:0005829; GO:0010181; GO:0016491	cytosol [GO:0005829]; FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	
A0ABW1UCA2	A0ABW1UCA2_9LACO	Family 43 glycosylhydrolase	ACFQH1_00300	Lactiplantibacillus daoliensis	431	GO:0004553; GO:0005975; GO:0030246	carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	
A0ABW1UCB1	A0ABW1UCB1_9LACO	DUF916 and DUF3324 domain-containing protein	ACFQH1_00335	Lactiplantibacillus daoliensis	348			
A0ABW1UCB4	A0ABW1UCB4_9LACO	PadR family transcriptional regulator	ACFQH1_00375	Lactiplantibacillus daoliensis	180			
A0ABW1UCB7	A0ABW1UCB7_9LACO	Sugar-phosphatase (EC 3.1.3.23)	yidA ACFQH1_00745	Lactiplantibacillus daoliensis	269	GO:0000287; GO:0005829; GO:0050308	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; sugar-phosphatase activity [GO:0050308]	
A0ABW1UCC5	A0ABW1UCC5_9LACO	Matrixin family metalloprotease (EC 3.4.24.-)	ACFQH1_00410	Lactiplantibacillus daoliensis	186	GO:0004222; GO:0006508; GO:0008270; GO:0031012	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	
A0ABW1UCC9	A0ABW1UCC9_9LACO	DUF2075 domain-containing protein	ACFQH1_00450	Lactiplantibacillus daoliensis	398			
A0ABW1UCD0	A0ABW1UCD0_9LACO	Cyclic di-AMP binding protein CbpA	cbpA ACFQH1_00855	Lactiplantibacillus daoliensis	212			
A0ABW1UCD8	A0ABW1UCD8_9LACO	Accessory Sec system glycosyltransferase Asp1	asp1 ACFQH1_00485	Lactiplantibacillus daoliensis	501	GO:0015031; GO:0016757	glycosyltransferase activity [GO:0016757]; protein transport [GO:0015031]	
A0ABW1UCE1	A0ABW1UCE1_9LACO	Dihydrolipoyl dehydrogenase family protein (EC 1.-.-.-)	ACFQH1_00530	Lactiplantibacillus daoliensis	444	GO:0016491	oxidoreductase activity [GO:0016491]	
A0ABW1UCE3	A0ABW1UCE3_9LACO	Integral membrane protein	ACFQH1_01000	Lactiplantibacillus daoliensis	308			
A0ABW1UCE5	A0ABW1UCE5_9LACO	NUDIX hydrolase	ACFQH1_00050	Lactiplantibacillus daoliensis	159	GO:0016787	hydrolase activity [GO:0016787]	
A0ABW1UCE7	A0ABW1UCE7_9LACO	S1 domain-containing RNA-binding protein	ACFQH1_00895	Lactiplantibacillus daoliensis	181	GO:0003729; GO:0003735; GO:0005737; GO:0006412	cytoplasm [GO:0005737]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	
A0ABW1UCF1	A0ABW1UCF1_9LACO	Integral membrane protein	ACFQH1_00570	Lactiplantibacillus daoliensis	115			
A0ABW1UCF7	A0ABW1UCF7_9LACO	Polysaccharide biosynthesis C-terminal domain-containing protein	ACFQH1_01075	Lactiplantibacillus daoliensis	556	GO:0005886	plasma membrane [GO:0005886]	
A0ABW1UCF9	A0ABW1UCF9_9LACO	LysM peptidoglycan-binding domain-containing protein	ACFQH1_00135	Lactiplantibacillus daoliensis	244			
A0ABW1UCG2	A0ABW1UCG2_9LACO	TatD family hydrolase (EC 3.1.-.-)	ACFQH1_00645	Lactiplantibacillus daoliensis	258	GO:0004536; GO:0005829; GO:0016788	cytosol [GO:0005829]; DNA nuclease activity [GO:0004536]; hydrolase activity, acting on ester bonds [GO:0016788]	
A0ABW1UCG9	A0ABW1UCG9_9LACO	Metal ABC transporter permease	ACFQH1_00685	Lactiplantibacillus daoliensis	265	GO:0043190; GO:0055085	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]	
A0ABW1UCH1	A0ABW1UCH1_9LACO	DUF916 and DUF3324 domain-containing protein	ACFQH1_01150	Lactiplantibacillus daoliensis	347			
A0ABW1UCH3	A0ABW1UCH3_9LACO	Helix-turn-helix domain-containing protein	ACFQH1_00210	Lactiplantibacillus daoliensis	180	GO:0003677; GO:0003700; GO:0005829	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
A0ABW1UCH6	A0ABW1UCH6_9LACO	ABC transporter substrate-binding protein	ACFQH1_01115	Lactiplantibacillus daoliensis	452	GO:0030313	cell envelope [GO:0030313]	
A0ABW1UCH7	A0ABW1UCH7_9LACO	Nuclear transport factor 2 family protein	ACFQH1_00720	Lactiplantibacillus daoliensis	142			
