Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
O07593	YHDX_BACSU	Uncharacterized protein YhdX	yhdX BSU09630	Bacillus subtilis (strain 168)	35		
O07599	YHFA_BACSU	Uncharacterized membrane protein YhfA	yhfA BSU10080	Bacillus subtilis (strain 168)	463	GO:0005886	plasma membrane [GO:0005886]
O07601	YHFC_BACSU	Uncharacterized membrane protein YhfC	yhfC BSU10180	Bacillus subtilis (strain 168)	258	GO:0005886	plasma membrane [GO:0005886]
O07604	YHFF_BACSU	Uncharacterized protein YhfF	yhfF BSU10210	Bacillus subtilis (strain 168)	135		
O07606	YHFH_BACSU	Uncharacterized protein YhfH	yhfH BSU10230	Bacillus subtilis (strain 168)	46		
O07611	YHFM_BACSU	Uncharacterized protein YhfM	yhfM BSU10280	Bacillus subtilis (strain 168)	131		
O07624	YWIB_BACSU	Uncharacterized beta-barrel protein YwiB	ywiB BSU37340	Bacillus subtilis (strain 168)	142		
O07625	YLAA_BACSU	Uncharacterized protein YlaA	ylaA BSU14710	Bacillus subtilis (strain 168)	646	GO:0005886	plasma membrane [GO:0005886]
O07626	YLAB_BACSU	Uncharacterized protein YlaB	ylaB BSU14720	Bacillus subtilis (strain 168)	89	GO:0016020	membrane [GO:0016020]
O07629	YLAE_BACSU	Uncharacterized protein YlaE	ylaE BSU14750	Bacillus subtilis (strain 168)	203		
O07630	YLAF_BACSU	Uncharacterized protein YlaF	ylaF BSU14760	Bacillus subtilis (strain 168)	62	GO:0005886	plasma membrane [GO:0005886]
O07632	YLAH_BACSU	Uncharacterized membrane protein YlaH	ylaH BSU14780	Bacillus subtilis (strain 168)	105	GO:0005886	plasma membrane [GO:0005886]
O07633	YLAI_BACSU	Uncharacterized protein YlaI	ylaI BSU14790	Bacillus subtilis (strain 168)	69		
O07636	YLAL_BACSU	Uncharacterized protein YlaL	ylaL BSU14820	Bacillus subtilis (strain 168)	161		
O07909	YRAI_BACSU	Uncharacterized protein YraI	yraI BSU26930	Bacillus subtilis (strain 168)	119		
O07917	YRAL_BACSU	Uncharacterized protein YraL	yraL BSU26900	Bacillus subtilis (strain 168)	87		
O07919	YRAG_BACSU	Spore coat protein F-like protein YraG	yraG BSU26950	Bacillus subtilis (strain 168)	81		
O07931	YRAM_BACSU	Putative isomerase YraM (EC 5.-.-.-)	yraM BSU26880	Bacillus subtilis (strain 168)	367	GO:0016863	intramolecular oxidoreductase activity, transposing C=C bonds [GO:0016863]
O07934	YRAJ_BACSU	Uncharacterized protein YraJ	yraJ BSU26920	Bacillus subtilis (strain 168)	118		
O07938	YRDF_BACSU	Putative ribonuclease inhibitor YrdF	yrdF BSU26730	Bacillus subtilis (strain 168)	91	GO:0005737	cytoplasm [GO:0005737]
O07939	YIST_BACSU	Uncharacterized protein YisT	yisT yucH BSU10860	Bacillus subtilis (strain 168)	169		
O07949	YRAF_BACSU	Spore coat protein F-like protein YraF	yraF BSU26960	Bacillus subtilis (strain 168)	122		
O24817	YDZJ_BACSU	Uncharacterized membrane protein YdzJ	ydzJ BSU06269	Bacillus subtilis (strain 168)	52	GO:0005886	plasma membrane [GO:0005886]
O30472	YODL_BACSU	Uncharacterized protein YodL	yodL yokX BSU19640	Bacillus subtilis (strain 168)	104		
O30602	YOJW_BACSU	Uncharacterized protein YojW	yojW BSU19999	Bacillus subtilis (strain 168)	55		
O31414	YAZA_BACSU	UPF0213 protein YazA	yazA BSU00350	Bacillus subtilis (strain 168)	99		
O31421	YBCM_BACSU	Uncharacterized protein YbcM	ybcM BSU01900	Bacillus subtilis (strain 168)	104	GO:0005886	plasma membrane [GO:0005886]
O31436	YBDN_BACSU	Uncharacterized protein YbdN	ybdN BSU02040	Bacillus subtilis (strain 168)	285		
O31437	YBDO_BACSU	Uncharacterized protein YbdO	ybdO BSU02050	Bacillus subtilis (strain 168)	394		
O31441	YBYB_BACSU	Uncharacterized protein YbyB	ybyB BSU02110	Bacillus subtilis (strain 168)	86		
O31442	YBEF_BACSU	Uncharacterized protein YbeF	ybeF BSU02150	Bacillus subtilis (strain 168)	82	GO:0005886	plasma membrane [GO:0005886]
O31445	YBFE_BACSU	Uncharacterized protein YbfE	ybfE BSU02180	Bacillus subtilis (strain 168)	94	GO:0005886	plasma membrane [GO:0005886]
O31446	YBFF_BACSU	Uncharacterized protein YbfF	ybfF BSU02190	Bacillus subtilis (strain 168)	303	GO:0005886	plasma membrane [GO:0005886]
O31447	YBFG_BACSU	Uncharacterized protein YbfG	ybfG BSU02200	Bacillus subtilis (strain 168)	732	GO:0005886	plasma membrane [GO:0005886]
O31451	YBFJ_BACSU	Uncharacterized protein YbfJ	ybfJ BSU02250	Bacillus subtilis (strain 168)	132		
O31453	YBFM_BACSU	Uncharacterized membrane protein YbfM	ybfM BSU02280	Bacillus subtilis (strain 168)	162	GO:0005886	plasma membrane [GO:0005886]
O31454	YBFN_BACSU	Uncharacterized protein YbfN	ybfN BSU02300	Bacillus subtilis (strain 168)	92		
O31455	YBFO_BACSU	Putative hydrolase YbfO (EC 3.-.-.-)	ybfO BSU02310	Bacillus subtilis (strain 168)	446	GO:0046677	response to antibiotic [GO:0046677]
O31469	YCZC_BACSU	Uncharacterized protein YczC	yczC BSU02710	Bacillus subtilis (strain 168)	127	GO:0005886	plasma membrane [GO:0005886]
O31473	YCGI_BACSU	Uncharacterized protein YcgI	ycgI BSU03120	Bacillus subtilis (strain 168)	198		
O31479	YCZF_BACSU	Uncharacterized protein YczF	yczF BSU03690	Bacillus subtilis (strain 168)	73	GO:0016020	membrane [GO:0016020]
O31482	YCZH_BACSU	Uncharacterized protein YczH	yczH BSU04020	Bacillus subtilis (strain 168)	202	GO:0016787	hydrolase activity [GO:0016787]
O31484	YCZJ_BACSU	Uncharacterized protein YczJ	yczJ BSU04130	Bacillus subtilis (strain 168)	95		
O31485	YDZA_BACSU	Uncharacterized membrane protein YdzA	ydzA BSU04240	Bacillus subtilis (strain 168)	96	GO:0005886	plasma membrane [GO:0005886]
O31491	YDDB_BACSU	Uncharacterized protein YddB	yddB BSU04910	Bacillus subtilis (strain 168)	354	GO:0005886	plasma membrane [GO:0005886]
O31494	YDZF_BACSU	Uncharacterized HTH-type transcriptional regulator YdzF	ydzF BSU05270	Bacillus subtilis (strain 168)	109		
O31496	YDZH_BACSU	Uncharacterized protein YdzH	ydzH BSU05520	Bacillus subtilis (strain 168)	78		
O31505	YEZA_BACSU	Uncharacterized protein YezA	yezA BSU06800	Bacillus subtilis (strain 168)	68	GO:0015643; GO:0030153	toxic substance binding [GO:0015643]; bacteriocin immunity [GO:0030153]
O31507	YEEG_BACSU	Uncharacterized protein YeeG	yeeG BSU06820	Bacillus subtilis (strain 168)	340	GO:0005886	plasma membrane [GO:0005886]
O31511	YESE_BACSU	Uncharacterized protein YesE	yesE yeeL BSU06870	Bacillus subtilis (strain 168)	147		
O31514	YESK_BACSU	Uncharacterized protein YesK	yesK BSU06930	Bacillus subtilis (strain 168)	100	GO:0005886	plasma membrane [GO:0005886]
O31515	YESL_BACSU	Uncharacterized protein YesL	yesL BSU06940	Bacillus subtilis (strain 168)	209	GO:0005886	plasma membrane [GO:0005886]
O31524	YESU_BACSU	Uncharacterized protein YesU	yesU BSU07030	Bacillus subtilis (strain 168)	220		
O31525	YESV_BACSU	Uncharacterized protein YesV	yesV BSU07040	Bacillus subtilis (strain 168)	208		
O31530	YETA_BACSU	Uncharacterized protein YetA	yetA BSU07090	Bacillus subtilis (strain 168)	857		
O31535	YETH_BACSU	Uncharacterized protein YetH	yetH BSU07160	Bacillus subtilis (strain 168)	120		
O31538	YEZD_BACSU	Uncharacterized protein YezD	yezD BSU07190	Bacillus subtilis (strain 168)	55		
O31542	YFND_BACSU	Uncharacterized protein YfnD	yfnD BSU07310	Bacillus subtilis (strain 168)	311		
O31547	YFJM_BACSU	Uncharacterized protein YfjM	yfjM BSU08040	Bacillus subtilis (strain 168)	150		
O31553	YFJF_BACSU	UPF0060 membrane protein YfjF	yfjF BSU08120	Bacillus subtilis (strain 168)	109	GO:0005886	plasma membrane [GO:0005886]
O31554	YFJE_BACSU	Uncharacterized protein YfjE	yfjE BSU08130	Bacillus subtilis (strain 168)	152	GO:0016020	membrane [GO:0016020]
O31556	YFJC_BACSU	Uncharacterized protein YfjC	yfjC BSU08150	Bacillus subtilis (strain 168)	255		
O31557	YFJB_BACSU	Uncharacterized protein YfjB	yfjB BSU08160	Bacillus subtilis (strain 168)	407		
O31558	YFJA_BACSU	Uncharacterized protein YfjA	yfjA BSU08170	Bacillus subtilis (strain 168)	104		
O31572	YFHD_BACSU	Uncharacterized protein YfhD	yfhD BSU08490	Bacillus subtilis (strain 168)	63		
O31573	YFHE_BACSU	Uncharacterized protein YfhE	yfhE BSU08500	Bacillus subtilis (strain 168)	36		
O31574	YFHF_BACSU	Epimerase family protein YfhF	yfhF BSU08510	Bacillus subtilis (strain 168)	303		
O31578	YFHJ_BACSU	Uncharacterized protein YfhJ	yfhJ BSU08560	Bacillus subtilis (strain 168)	89		
O31579	YFHK_BACSU	Uncharacterized protein YfhK	yfhK BSU08570	Bacillus subtilis (strain 168)	172		
O31580	YFHL_BACSU	Uncharacterized protein YfhL	yfhL BSU08580	Bacillus subtilis (strain 168)	110	GO:0005886	plasma membrane [GO:0005886]
O31585	YFHS_BACSU	Uncharacterized protein YfhS	yfhS BSU08640	Bacillus subtilis (strain 168)	74		
O31586	YGZA_BACSU	Uncharacterized protein YgzA	ygzA BSU08770	Bacillus subtilis (strain 168)	67		
O31588	YHZB_BACSU	Uncharacterized protein YhzB	yhzB BSU08900	Bacillus subtilis (strain 168)	207		
O31589	YHBB_BACSU	Uncharacterized protein YhbB	yhbB ygaQ BSU08920	Bacillus subtilis (strain 168)	311		
O31593	YHBJ_BACSU	Putative efflux system component YhbJ	yhbJ BSU09000	Bacillus subtilis (strain 168)	221	GO:0005886	plasma membrane [GO:0005886]
O31594	YHZC_BACSU	Uncharacterized protein YhzC	yhzC BSU10410	Bacillus subtilis (strain 168)	77		
O31596	YJAZ_BACSU	Uncharacterized protein YjaZ	yjaZ BSU11350	Bacillus subtilis (strain 168)	261		
O31597	YJBA_BACSU	UPF0736 protein YjbA	yjbA BSU11410	Bacillus subtilis (strain 168)	250		
O31603	YJBE_BACSU	Uncharacterized membrane protein YjbE	yjbE BSU11510	Bacillus subtilis (strain 168)	218	GO:0005886	plasma membrane [GO:0005886]
O31609	YJBK_BACSU	Putative triphosphatase YjbK (EC 3.6.1.-)	yjbK BSU11580	Bacillus subtilis (strain 168)	190		
O31610	YJBL_BACSU	UPF0738 protein YjbL	yjbL BSU11590	Bacillus subtilis (strain 168)	122		
O31630	YJCH_BACSU	Uncharacterized protein YjcH	yjcH BSU11860	Bacillus subtilis (strain 168)	240		
O31634	YJCL_BACSU	Uncharacterized membrane protein YjcL	yjcL BSU11900	Bacillus subtilis (strain 168)	396	GO:0005886	plasma membrane [GO:0005886]
O31635	YJCM_BACSU	Uncharacterized protein YjcM	yjcM BSU11910	Bacillus subtilis (strain 168)	409		
O31636	YJCN_BACSU	Uncharacterized protein YjcN	yjcN BSU11920	Bacillus subtilis (strain 168)	106		
O31637	YJCO_BACSU	Uncharacterized protein YjcO	yjcO BSU11930	Bacillus subtilis (strain 168)	153		
O31638	YJCP_BACSU	Uncharacterized protein YjcP	yjcP BSU11940	Bacillus subtilis (strain 168)	167	GO:0005886	plasma membrane [GO:0005886]
O31639	YJCQ_BACSU	Uncharacterized protein YjcQ	yjcQ BSU11950	Bacillus subtilis (strain 168)	94		
O31640	YJCR_BACSU	Uncharacterized protein YjcR	yjcR BSU11960	Bacillus subtilis (strain 168)	175		
O31641	YJCS_BACSU	Uncharacterized protein YjcS	yjcS BSU11970	Bacillus subtilis (strain 168)	105	GO:0003824	catalytic activity [GO:0003824]
O31643	YJDB_BACSU	Uncharacterized protein YjdB	yjdB BSU11990	Bacillus subtilis (strain 168)	115		
O31649	YJDH_BACSU	Uncharacterized protein YjdH	yjdH BSU12050	Bacillus subtilis (strain 168)	131		
O31651	YJDJ_BACSU	Uncharacterized protein YjdJ	yjdJ BSU12070	Bacillus subtilis (strain 168)	109	GO:0016020	membrane [GO:0016020]
O31653	YKZH_BACSU	Uncharacterized protein YkzH	ykzH BSU13050	Bacillus subtilis (strain 168)	74		
O31656	YKRK_BACSU	Uncharacterized protein YkrK	ykrK BSU13480	Bacillus subtilis (strain 168)	233		
O31659	YKZE_BACSU	Uncharacterized protein YkzE	ykzE BSU13510	Bacillus subtilis (strain 168)	58		
O31670	YKVA_BACSU	Uncharacterized membrane protein YkvA	ykvA BSU13630	Bacillus subtilis (strain 168)	106	GO:0005886	plasma membrane [GO:0005886]
O31674	YKVI_BACSU	Uncharacterized membrane protein YkvI	ykvI BSU13710	Bacillus subtilis (strain 168)	347	GO:0005886	plasma membrane [GO:0005886]
O31679	YKVN_BACSU	Uncharacterized HTH-type transcriptional regulator YkvN	ykvN BSU13760	Bacillus subtilis (strain 168)	118		
O31683	YKVR_BACSU	Uncharacterized protein YkvR	ykvR BSU13800	Bacillus subtilis (strain 168)	96		
O31684	YKVS_BACSU	Uncharacterized protein YkvS	ykvS BSU13810	Bacillus subtilis (strain 168)	61		
O31696	YKUH_BACSU	Uncharacterized protein YkuH	ykuH BSU14080	Bacillus subtilis (strain 168)	182	GO:0016020	membrane [GO:0016020]
O31715	YKOA_BACSU	Uncharacterized protein YkoA	ykoA BSU14420	Bacillus subtilis (strain 168)	89	GO:0005886	plasma membrane [GO:0005886]
O31719	YKZI_BACSU	Uncharacterized protein YkzI	ykzI BSU14660	Bacillus subtilis (strain 168)	62		
O31720	YKZC_BACSU	Uncharacterized protein YkzC	ykzC BSU14680	Bacillus subtilis (strain 168)	142	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]
O31729	YLMG_BACSU	Uncharacterized membrane protein YlmG	ylmG BSU15400	Bacillus subtilis (strain 168)	90	GO:0005886	plasma membrane [GO:0005886]
O31739	YLQD_BACSU	Uncharacterized protein YlqD	ylqD BSU16010	Bacillus subtilis (strain 168)	128		
O31745	YLQG_BACSU	Uncharacterized protein YlqG	ylqG BSU16070	Bacillus subtilis (strain 168)	576		
O31768	YMFJ_BACSU	Uncharacterized protein YmfJ	ymfJ BSU16880	Bacillus subtilis (strain 168)	85		
O31769	YMFK_BACSU	Uncharacterized protein YmfK	ymfK BSU16890/BSU16900	Bacillus subtilis (strain 168)	269		
O31780	YMCC_BACSU	Uncharacterized membrane protein YmcC	ymcC BSU17070	Bacillus subtilis (strain 168)	185	GO:0005886	plasma membrane [GO:0005886]
O31786	YMZB_BACSU	Uncharacterized protein YmzB	ymzB BSU17240	Bacillus subtilis (strain 168)	118		
O31787	YMAE_BACSU	Uncharacterized protein YmaE	ymaE BSU17250	Bacillus subtilis (strain 168)	274		
O31790	YMAD_BACSU	Uncharacterized protein YmaD	ymaD BSU17280	Bacillus subtilis (strain 168)	150		
O31793	YMAG_BACSU	Uncharacterized protein YmaG	ymaG BSU17310	Bacillus subtilis (strain 168)	91	GO:0005886	plasma membrane [GO:0005886]
O31797	YMZC_BACSU	Uncharacterized protein YmzC	ymzC BSU17350	Bacillus subtilis (strain 168)	90		
O31798	YMZA_BACSU	Uncharacterized protein YmzA	ymzA BSU17360	Bacillus subtilis (strain 168)	76		
O31799	YNZF_BACSU	Uncharacterized protein YnzF	ynzF BSU17480	Bacillus subtilis (strain 168)	114		
O31800	YNZG_BACSU	UPF0457 protein YnzG	ynzG BSU17490	Bacillus subtilis (strain 168)	83		
O31805	YNDA_BACSU	Uncharacterized protein YndA	yndA BSU17720	Bacillus subtilis (strain 168)	132		
O31806	YNDB_BACSU	Uncharacterized protein YndB	yndB BSU17730	Bacillus subtilis (strain 168)	144		
O31807	YNZB_BACSU	Uncharacterized protein YnzB	ynzB BSU17740	Bacillus subtilis (strain 168)	62		
O31811	YNDG_BACSU	Uncharacterized membrane protein YndG	yndG BSU17780	Bacillus subtilis (strain 168)	268	GO:0005886	plasma membrane [GO:0005886]
O31812	YNDH_BACSU	Uncharacterized protein YndH	yndH BSU17790	Bacillus subtilis (strain 168)	205		
O31813	YNDJ_BACSU	Uncharacterized membrane protein YndJ	yndJ BSU17800	Bacillus subtilis (strain 168)	546	GO:0005886	plasma membrane [GO:0005886]
O31814	YNDK_BACSU	Uncharacterized membrane protein YndK	yndK BSU17810	Bacillus subtilis (strain 168)	121	GO:0005886	plasma membrane [GO:0005886]
O31816	YNDM_BACSU	Uncharacterized membrane protein YndM	yndM BSU17830	Bacillus subtilis (strain 168)	179	GO:0005886	plasma membrane [GO:0005886]
O31829	YOAF_BACSU	Uncharacterized protein YoaF	yoaF BSU18580	Bacillus subtilis (strain 168)	97		
O31830	YOAG_BACSU	UPF0715 membrane protein YoaG	yoaG BSU18590	Bacillus subtilis (strain 168)	134	GO:0005886	plasma membrane [GO:0005886]
O31831	YOAQ_BACSU	Uncharacterized protein YoaQ	yoaQ BSU18700	Bacillus subtilis (strain 168)	118		
O31832	YOZF_BACSU	Uncharacterized protein YozF	yozF BSU18710	Bacillus subtilis (strain 168)	165		
O31833	YOAS_BACSU	Uncharacterized membrane protein YoaS	yoaS BSU18730	Bacillus subtilis (strain 168)	160	GO:0005886	plasma membrane [GO:0005886]
O31834	YOZG_BACSU	Uncharacterized HTH-type transcriptional regulator YozG	yozG BSU18740	Bacillus subtilis (strain 168)	84	GO:0003677	DNA binding [GO:0003677]
O31835	YOBA_BACSU	Uncharacterized protein YobA	yobA BSU18810	Bacillus subtilis (strain 168)	120		
O31836	YOBB_BACSU	Uncharacterized protein YobB	yobB BSU18820	Bacillus subtilis (strain 168)	87		
O31837	YOZH_BACSU	Uncharacterized protein YozH	yozH BSU18860	Bacillus subtilis (strain 168)	118		
O31838	YOZI_BACSU	Uncharacterized protein YozI	yozI BSU18870	Bacillus subtilis (strain 168)	121		
O31839	YOZJ_BACSU	Uncharacterized protein YozJ	yozJ BSU18900	Bacillus subtilis (strain 168)	151		
O31842	YOZL_BACSU	Uncharacterized protein YozL	yozL BSU18950	Bacillus subtilis (strain 168)	97		
O31843	YOZM_BACSU	Prophage-derived-like uncharacterized protein YozM	yozM BSU18960	Bacillus subtilis (strain 168)	111		
O31845	YOZB_BACSU	Uncharacterized membrane protein YozB	yozB BSU19140	Bacillus subtilis (strain 168)	178	GO:0005886	plasma membrane [GO:0005886]
O31846	YOZN_BACSU	Uncharacterized protein YozN	yozN BSU19270	Bacillus subtilis (strain 168)	87		
O31847	YOZO_BACSU	Uncharacterized protein YozO	yozO BSU19290	Bacillus subtilis (strain 168)	114		
O31848	YOZC_BACSU	Uncharacterized protein YozC	yozC BSU19300	Bacillus subtilis (strain 168)	67		
O31858	YOJF_BACSU	Uncharacterized protein YojF	yojF BSU19470	Bacillus subtilis (strain 168)	116		
O31861	YOJB_BACSU	Uncharacterized protein YojB	yojB BSU19510	Bacillus subtilis (strain 168)	78	GO:0016020	membrane [GO:0016020]
O31863	YOZD_BACSU	Uncharacterized protein YozD	yozD BSU19660	Bacillus subtilis (strain 168)	58		
O31864	YOZE_BACSU	UPF0346 protein YozE	yozE BSU19680	Bacillus subtilis (strain 168)	74		
O31866	YOTK_BACSU	SPbeta prophage-derived uncharacterized protein YotK	yotK BSU19850	Bacillus subtilis (strain 168)	61		
O31867	YOTH_BACSU	SPbeta prophage-derived uncharacterized membrane protein YotH	yotH BSU19880	Bacillus subtilis (strain 168)	57	GO:0005886	plasma membrane [GO:0005886]
O31868	YOTG_BACSU	Uncharacterized SPbeta prophage-derived protein YotG	yotG BSU19890	Bacillus subtilis (strain 168)	105		
O31869	YOTF_BACSU	SPbeta prophage-derived uncharacterized protein YotF	yotF BSU19900	Bacillus subtilis (strain 168)	25		
O31870	YOTE_BACSU	SPbeta prophage-derived uncharacterized protein YotE	yotE BSU19910	Bacillus subtilis (strain 168)	48		
O31872	YOSW_BACSU	SPbeta prophage-derived uncharacterized membrane protein YosW	yosW BSU19980	Bacillus subtilis (strain 168)	113	GO:0005886	plasma membrane [GO:0005886]
O31877	YOSL_BACSU	SPbeta prophage-derived uncharacterized protein YosL	yosL BSU20080	Bacillus subtilis (strain 168)	117	GO:0006355	regulation of DNA-templated transcription [GO:0006355]
O31878	YOSK_BACSU	SPbeta prophage-derived uncharacterized protein YosK	yosK BSU20090	Bacillus subtilis (strain 168)	66		
O31879	YOSJ_BACSU	SPbeta prophage-derived uncharacterized protein YosJ	yosJ BSU20100	Bacillus subtilis (strain 168)	64		
O31880	YOSI_BACSU	SPbeta prophage-derived uncharacterized protein YosI	yosI BSU20110	Bacillus subtilis (strain 168)	44		
O31881	YOSH_BACSU	SPbeta prophage-derived uncharacterized protein YosH	yosH BSU20120	Bacillus subtilis (strain 168)	156		
O31882	YOSG_BACSU	SPbeta prophage-derived uncharacterized protein YosG	yosG BSU20130	Bacillus subtilis (strain 168)	120		
O31883	YOSF_BACSU	SPbeta prophage-derived uncharacterized protein YosF	yosF BSU20140	Bacillus subtilis (strain 168)	41		
O31884	YOSE_BACSU	SPbeta prophage-derived uncharacterized membrane protein YosE	yosE BSU20150	Bacillus subtilis (strain 168)	115	GO:0005886	plasma membrane [GO:0005886]
O31885	YOSD_BACSU	SPbeta prophage-derived uncharacterized protein YosD	yosD BSU20160	Bacillus subtilis (strain 168)	131		
O31886	YOSC_BACSU	SPbeta prophage-derived uncharacterized protein YosC	yosC BSU20170	Bacillus subtilis (strain 168)	180		
O31887	YOSB_BACSU	SPbeta prophage-derived uncharacterized protein YosB	yosB BSU20180	Bacillus subtilis (strain 168)	59		
O31888	YOSA_BACSU	SPbeta prophage-derived membrane protein YosA	yosA BSU20190	Bacillus subtilis (strain 168)	39	GO:0016020	membrane [GO:0016020]
O31889	YORZ_BACSU	SPbeta prophage-derived uncharacterized protein YorZ	yorZ BSU20200	Bacillus subtilis (strain 168)	70		
O31890	YORY_BACSU	SPbeta prophage-derived uncharacterized protein YorY	yorY BSU20210	Bacillus subtilis (strain 168)	60		
O31891	YORX_BACSU	SPbeta prophage-derived uncharacterized protein YorX	yorX BSU20220	Bacillus subtilis (strain 168)	75		
O31892	YORW_BACSU	SPbeta prophage-derived uncharacterized protein YorW	yorW BSU20230	Bacillus subtilis (strain 168)	121		
O31893	YORV_BACSU	SPbeta prophage-derived uncharacterized protein YorV	yorV BSU20240	Bacillus subtilis (strain 168)	72		
O31894	YORT_BACSU	SPbeta prophage-derived uncharacterized protein YorT	yorT BSU20260	Bacillus subtilis (strain 168)	39		
O31897	YORQ_BACSU	SPbeta prophage-derived uncharacterized protein YorQ	yorQ BSU20290	Bacillus subtilis (strain 168)	51		
O31898	YORP_BACSU	SPbeta prophage-derived uncharacterized protein YorP	yorP BSU20300	Bacillus subtilis (strain 168)	71		
O31899	YORO_BACSU	SPbeta prophage-derived uncharacterized protein YorO	yorO BSU20310	Bacillus subtilis (strain 168)	65		
O31900	YORN_BACSU	SPbeta prophage-derived uncharacterized protein YorN	yorN BSU20320	Bacillus subtilis (strain 168)	49		
O31904	YORJ_BACSU	SPbeta prophage-derived uncharacterized protein YorJ	yorJ BSU20360	Bacillus subtilis (strain 168)	378	GO:0003677; GO:0006260; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; DNA replication [GO:0006260]
O31905	YORI_BACSU	SPbeta prophage-derived uncharacterized protein YorI	yorI BSU20370	Bacillus subtilis (strain 168)	504	GO:0003678; GO:0005524; GO:0005829; GO:0006260	cytosol [GO:0005829]; ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; DNA replication [GO:0006260]
O31906	YORH_BACSU	SPbeta prophage-derived uncharacterized protein YorH	yorH BSU20380	Bacillus subtilis (strain 168)	156		
O31907	YORG_BACSU	SPbeta prophage-derived uncharacterized protein YorG	yorG BSU20390	Bacillus subtilis (strain 168)	323		
O31908	YORF_BACSU	SPbeta prophage-derived uncharacterized protein YorF	yorF BSU20400	Bacillus subtilis (strain 168)	304		
O31909	YORE_BACSU	SPbeta prophage-derived uncharacterized protein YorE	yorE BSU20410	Bacillus subtilis (strain 168)	123		
O31910	YORC_BACSU	SPbeta prophage-derived uncharacterized protein YorC	yorC BSU20430	Bacillus subtilis (strain 168)	126		
O31911	YORB_BACSU	SPbeta prophage-derived uncharacterized protein YorB	yorB BSU20440	Bacillus subtilis (strain 168)	98		
O31912	YORA_BACSU	SPbeta prophage-derived uncharacterized protein YorA	yorA BSU20450	Bacillus subtilis (strain 168)	586		
O31913	YOQZ_BACSU	SPbeta prophage-derived UPF0714 protein YoqZ	yoqZ BSU20460	Bacillus subtilis (strain 168)	274	GO:0016787	hydrolase activity [GO:0016787]
O31914	YOQY_BACSU	SPbeta prophage-derived uncharacterized protein YoqY	yoqY BSU20470	Bacillus subtilis (strain 168)	131		
O31915	YOQX_BACSU	SPbeta prophage-derived uncharacterized protein YoqX	yoqX BSU20480	Bacillus subtilis (strain 168)	73		
O31918	YOQU_BACSU	SPbeta prophage-derived uncharacterized protein YoqU	yoqU BSU20510	Bacillus subtilis (strain 168)	137		
O31919	YOQT_BACSU	SPbeta prophage-derived uncharacterized protein YoqT	yoqT BSU20520	Bacillus subtilis (strain 168)	49	GO:0005886	plasma membrane [GO:0005886]
O31920	YOQS_BACSU	SPbeta prophage-derived uncharacterized protein YoqS	yoqS BSU20530	Bacillus subtilis (strain 168)	115		
O31921	YOQR_BACSU	SPbeta prophage-derived uncharacterized protein YoqR	yoqR BSU20540	Bacillus subtilis (strain 168)	118		
O31922	YOQP_BACSU	SPbeta prophage-derived uncharacterized protein YoqP	yoqP BSU20550	Bacillus subtilis (strain 168)	113		
O31923	YOQO_BACSU	SPbeta prophage-derived uncharacterized protein YoqO	yoqO BSU20560	Bacillus subtilis (strain 168)	124	GO:0005886	plasma membrane [GO:0005886]
O31924	YOQN_BACSU	SPbeta prophage-derived uncharacterized protein YoqN	yoqN BSU20570	Bacillus subtilis (strain 168)	72		
O31925	YOQM_BACSU	SPbeta prophage-derived uncharacterized protein YoqM	yoqM BSU20580	Bacillus subtilis (strain 168)	92		
O31926	YOPL_BACSU	SPbeta prophage-derived uncharacterized protein YopL	yopL BSU20850	Bacillus subtilis (strain 168)	41		
O31927	YOPK_BACSU	SPbeta prophage-derived uncharacterized protein YopK	yopK BSU20860	Bacillus subtilis (strain 168)	386		
O31928	YOPJ_BACSU	SPbeta prophage-derived uncharacterized protein YopJ	yopJ BSU20870	Bacillus subtilis (strain 168)	138		
O31929	YOPI_BACSU	SPbeta prophage-derived uncharacterized protein YopI	yopI BSU20880	Bacillus subtilis (strain 168)	177	GO:0005886	plasma membrane [GO:0005886]
O31930	YOPH_BACSU	SPbeta prophage-derived uncharacterized protein YopH	yopH BSU20890	Bacillus subtilis (strain 168)	178	GO:0005886	plasma membrane [GO:0005886]
O31931	YOPG_BACSU	SPbeta prophage-derived uncharacterized protein YopG	yopG BSU20900	Bacillus subtilis (strain 168)	43		
O31932	YOPF_BACSU	SPbeta prophage-derived uncharacterized protein YopF	yopF BSU20910	Bacillus subtilis (strain 168)	71		
O31933	YOPE_BACSU	SPbeta prophage-derived uncharacterized protein YopE	yopE BSU20920	Bacillus subtilis (strain 168)	83	GO:0005886	plasma membrane [GO:0005886]
O31934	YOPD_BACSU	SPbeta prophage-derived UPF0715 membrane protein YopD	yopD BSU20930	Bacillus subtilis (strain 168)	131	GO:0005886	plasma membrane [GO:0005886]
O31937	YOPA_BACSU	SPbeta prophage-derived uncharacterized protein YopA	yopA BSU20960	Bacillus subtilis (strain 168)	438	GO:0005886	plasma membrane [GO:0005886]
O31938	YONX_BACSU	SPbeta prophage-derived uncharacterized protein YonX	yonX BSU20970	Bacillus subtilis (strain 168)	168		
